0	28
1	6
2	24
3	29
4	16
5	17
6	5
7	16
8	17
9	5
10	16
11	5
12	3
13	20
14	3
15	2
16	6
17	1
18	14
22	1
23	3
24	4
25	22
26	16
27	0
28	1
29	3
30	20
31	3
32	10
33	9
34	15
35	1
36	3
37	4
38	4
20	25
39	3
40	1
41	3
42	4
43	3
44	20
45	3
46	16
47	5
48	1
49	3
50	4
51	16
52	17
53	5
54	9
55	10
56	11
57	1
58	1
59	3
60	4
61	16
62	10
63	15
64	16
65	17
66	1
67	3
68	4
69	16
70	5
71	18
72	19
73	8
74	3
75	20
76	3
77	0
78	1
79	4
80	3
81	2
82	6
83	1
84	14
85	21
86	22
87	2	23
88	14	24
89	1
90	3
91	4
94	4
95	3
96	3
97	3
98	3
99	20
100	3
101	1
102	3
103	4
104	22
105	3
106	3
107	4	8
108	25
109	3
114	1
115	3
116	4
117	2
118	6
119	1
120	14
121	3
122	3
123	18
124	19
125	18
126	8
127	4
128	1
129	3
130	5
131	1	6
132	2
133	0
134	1
135	3
136	4
137	2
138	6
139	1
140	14
141	1
142	3
143	7
144	3
145	8
146	4
148	3
151	1
152	3
153	4
154	3
155	1
156	3
157	1
158	3
159	4
160	4	8
161	3
163	6
164	24
165	29
166	1
167	3
168	3
169	4
170	2
171	6
172	1
173	14
174	12
175	3
176	13
177	1
178	3
179	7
180	3
181	4
182	3
183	20
184	3
185	1
186	3
187	7
188	3
189	8
190	4
191	20
192	4	8
193	38
194	1
195	3
196	16
197	3
198	4
199	22
200	3
201	8
202	4
203	3
204	4	8
205	3
206	4	8
207	3
208	3
209	4
210	3
211	16
212	1
213	3
214	2
215	6
216	1
217	14
224	3
225	16
226	26
227	27
228	22
229	1
230	3
231	3
232	1
233	3
234	4
235	3
236	3
237	10
238	9
239	15
240	3
241	4
242	16
243	5
244	3
245	4
246	3
247	3
248	4
249	16
250	21
251	22
252	23
253	24
254	0
255	1
256	3
257	4	8
258	4
259	3
260	3
261	8
262	4
263	5
264	6
265	2
266	3
267	3
268	20
269	3
272	16
273	1
274	3
275	41
276	42
277	43
278	16
279	1
280	3
281	1
282	3
283	4
284	31
285	24
286	12
287	20
288	3
289	2
290	6
291	1
292	14
293	16
150	5
294	1
295	3
296	4
297	1
298	3
299	4
300	3
301	3
302	16
303	3
304	1
305	1
306	16
307	10
308	9
309	15
310	1
311	3
312	3
313	13
314	26
315	20
316	18
317	19
318	18
319	8
320	16
321	3
322	41
323	42
324	43
325	3
330	1
331	3
332	3
340	3
341	3
342	3
343	8
344	9
345	10
346	11
347	3
348	3
352	3
353	3
354	3
355	4
356	4
357	3
358	44
359	11	12
360	45
361	41	42
362	3
363	8
364	4
365	0
366	1
367	16
368	0
369	1
370	6
371	24
372	29
373	3
374	4
375	4
376	30
377	3
378	3
379	3
380	3
381	4
382	3
383	3
384	3
385	3
386	3
387	3
388	3
389	3
390	1
391	3
392	3
393	10
394	11
395	3
396	4
397	3
398	4	8
399	4
400	18
401	19
402	18
403	8
404	1
405	3
406	3
407	16
408	2
409	6
410	3
411	10
412	9
413	15
414	16
415	3
416	1
417	3
418	10
419	15
424	3
425	1
426	3
427	16
428	3
429	20
430	2
431	6
432	1
433	14	24
434	44
435	11	12
436	45
437	3
438	18
439	19
440	8
441	3
442	3
443	4
444	3
445	16
446	16
450	3
451	35
452	36
453	37
454	3
455	20
456	6
457	24
458	29
459	10
460	11
463	3
464	15
466	6
467	24
468	29
469	4
470	3
471	10
472	9
473	15
474	16
475	3
476	8
477	4
478	1
479	3
480	3
481	3
482	3
483	16
484	10
485	11
486	3
487	4
488	3
489	21
490	22
491	23
492	3
493	2	29
494	6
495	1
496	14
497	3
498	4
499	3
500	20
501	3
502	16
503	37
504	2
505	6
506	1
507	44
508	11
509	45
510	3
449	4
513	4
514	25
515	3
516	1
517	3
518	10
519	15
520	3
521	4
524	16
525	3
526	16
527	1
528	3
529	1
530	3
531	2
532	6
533	1
534	14
535	3
536	4
537	30
538	10
539	11
540	4
541	3
542	3
543	3
544	3
545	1
546	3
547	16
548	5
549	6
550	2	29
551	1
552	3
553	2
554	6
555	1
556	16
559	6
560	24
561	29
562	3
447	1
564	3
565	6
566	24
567	29
568	16
569	3
570	16
571	3
572	8
573	4
574	3
575	4
576	3
577	3
578	3
579	3
580	10
581	15
582	26
583	1
584	3
585	1
586	3
591	3
592	3
593	4
594	3
595	3
596	13
597	16
599	3
600	3
601	16
602	3
603	8
604	4
605	12
606	3
607	13
608	0
609	1
610	16
611	3
612	16
613	3
614	16
615	4
616	3
617	3
618	3
619	4
620	4
621	3
622	3
623	3
624	3
625	3
626	26
