2	1977	494	1403
1	2322	212	193
2	35	63	2105
0	2056	4	197
2	5	47	2253
2	5	1273	1654
2	1546	508	2573
8	2592	2592	788
2	224	201	1772
10	1433	2274	1814
2	570	431	1364
7	753	988	479
5	327	2222	1345
5	963	255	393
0	628	4	180
0	2243	512	1318
2	123	526	109
2	22	599	2317
2	244	1377	3040
0	1217	50	1267
0	1326	137	147
5	921	1271	699
8	2076	1608	977
0	2218	512	51
0	568	21	442
6	336	639	2219
2	123	350	1772
3	57	227	2848
0	685	512	107
0	628	4	272
2	387	599	1670
0	2483	137	289
0	628	4	67
2	4	506	500
2	446	2070	1804
5	1226	808	699
2	66	431	1275
1	274	2762	25
0	2339	70	110
0	1216	137	726
0	28	1915	86
0	2135	1126	123
2	149	1207	1925
5	1420	255	1345
2	889	297	1963
4	857	2397	25
5	449	255	760
2	15	965	1342
2	5	526	2183
2	4	63	585
0	2483	70	78
2	171	1366	370
2	218	161	2253
2	209	1188	848
2	421	596	653
2	166	201	2828
2	889	541	1778
2	72	1021	507
6	941	2599	1287
3	2113	883	2514
1	485	3150	25
3	57	58	2923
2	34	933	864
2	304	47	1903
4	181	2214	2066
2	5	369	2377
2	1330	114	2730
1	327	2511	127
2	3010	431	134
0	2290	166	2
5	496	255	1345
0	2135	137	1463
2	1063	1720	2173
4	327	1605	25
1	1947	918	25
0	2050	66	2029
2	66	443	2146
1	677	189	267
2	284	501	293
0	1812	512	689
0	1725	70	72
0	1068	279	67
7	607	1149	479
7	1798	988	255
9	2449	2001	958
2	1315	902	134
1	1552	608	340
8	2615	2076	977
1	23	3150	25
2	387	249	3239
0	2732	279	1058
2	218	285	2661
2	503	114	2638
6	896	1221	1970
1	322	1333	25
3	57	127	2548
0	2757	512	1472
5	1982	255	1095
0	2715	535	951
0	1068	121	67
2	4	1377	864
6	896	41	912
0	487	137	424
0	1980	834	521
0	2228	512	633
2	13	443	1881
3	57	58	2842
2	215	201	1772
2	5	201	3357
2	408	649	2517
2	951	2140	327
4	1403	2214	190
6	896	1373	2180
3	57	127	2928
